"ID","VERSION","DESCRIPTION","NAME","POSITION"
"1","0","01-DEPARTAMENTOS","Departamentos","1"
"2","0","02-TENDÊNCIAS","Tendências","2"
"3","0","03-Feminino","Feminino","1"
"4","0","04-Masculino","Masculino","2"
"5","0","05-Infantil","Infantil","3"
"6","0","06-Bolsas e Calçados","Bolsas e Calçados","4"
"7","0","07-Moda Íntima","Moda Íntima","5"
"8","0","08-Óculos e Relógios","Óculos e Relógios","6"
"9","0","09-Animal Print","Animal Print","1"
"10","0","10-Anos 90","Anos 90","2"
"11","0","11-Blazer","Blazer","3"
"12","0","12-Boho","Boho","4"
"13","0","13-Floral","Floral","5"
"14","0","14-Franjas","Franjas","6"
"15","0","15-Preto & Branco","Preto & Branco","7"
"16","0","16-Western","Western","8"
"17","0","17-DEPARTAMENTOS","Departamentos","1"
"18","0","18-Feminino","Feminino","8"
"19","0","19-Masculino","Masculino","8"
"20","0","20-Infantil","Infantil","8"
"21","0","21-Bolsas e Calçados","Bolsas e Calçados","8"
"22","0","22-Moda Íntima","Moda Íntima","8"
"23","0","23-Óculos e Relógios","Óculos e Relógios","8"
"24","0","24-Perfumaria e Cosméticos","Perfumaria e Cosméticos","8"
"25","0","25-RELÓGIOS","Relógios","1"
"26","0","26-ÓCULOS","Óculos","2"
"27","0","27-MARCAS","Marcas","3"
"28","0","28-Casual","Casual","1"
"29","0","29-Clássico","Clássico","2"
"30","0","30-Esportivo","Esportivo","3"
"31","0","31-Fashion","Fashion","4"
"32","0","32-Social","Social","5"
"33","0","33-resentes","Presentes","6"
"34","0","34-Aviador","Aviador","1"
"35","0","35-Gateado","Gateado","2"
"36","0","36-Quadrado","Quadrado","3"
"37","0","37-Redondo","Redondo","4"
"38","0","38-Allora","Allora","1"
"39","0","39-Casio","Casio","2"
"40","0","40-Citizen","Citizen","3"
"41","0","41-Euro","Euro","4"
"42","0","42-Fossil","Fossil","5"
"43","0","43-Lince","Lince","6"
"44","0","44-Magnum","Magnum","7"
"45","0","45-Mormaii","Mormaii","8"
"46","0","46-Orient","Orient","9"
"47","0","47-Speedo","Speedo","10"
"48","0","48-Technos","Technos","11"
"49","0","49-DEPARTAMENTOS","Departamentos","1"
"50","0","50-Feminino","Feminino","1"
"51","0","51-Masculino","Masculino","2"
"52","0","52-Infantil","Infantil","3"
"53","0","53-Macacões","Macacões","1"
"54","0","54-Vestidos e Saias","Vestidos e Saias","2"
"55","0","55-T-Shirts e Tops","T-Shirts e Tops","3"
"56","0","56-Blusas e Túnicas","Blusas e Túnicas","4"
"57","0","57-Blusas e Cardigans","Blusas e Cardigans","5"
"58","0","58-Casacos e Blazers","Casacos e Blazers","6"
"59","0","59-Jeans","Jeans","7"
"60","0","60-Calças","Calças","8"
"61","0","61-Sportswear","Sportswear","9"










